2026-02-02 00:51:29,054 - INFO - 开始导入所有股票数据（年份: [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]）
2026-02-02 00:51:29,138 - INFO - 发现 5112 只股票
2026-02-02 00:51:30,218 - INFO - 已缓存 0 只股票，需要导入 5112 只股票
2026-02-02 00:51:31,305 - INFO - 开始分批导入数据，共 103 批
2026-02-02 00:51:31,305 - INFO - 处理第 1/103 批: 0-50
2026-02-02 00:51:32,171 - ERROR - 处理股票 sz000563 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,185 - INFO - 处理第 2/103 批: 50-100
2026-02-02 00:51:32,709 - ERROR - 处理股票 sz300304 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,719 - ERROR - 处理股票 sh603929 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,723 - ERROR - 处理股票 sz002850 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,725 - ERROR - 处理股票 sz002593 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,730 - ERROR - 处理股票 sz000889 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,735 - ERROR - 处理股票 sz300558 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,758 - ERROR - 处理股票 sz301208 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,766 - ERROR - 处理股票 sz002104 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,766 - ERROR - 处理股票 sh603863 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,767 - ERROR - 处理股票 sz301037 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,772 - ERROR - 处理股票 sz002355 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,777 - ERROR - 处理股票 sz000573 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,779 - ERROR - 处理股票 sh605303 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,779 - ERROR - 处理股票 sh603600 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,784 - ERROR - 处理股票 sz002620 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,789 - ERROR - 处理股票 sh600021 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,816 - ERROR - 处理股票 sh688196 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,827 - ERROR - 处理股票 sh688589 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,833 - ERROR - 处理股票 sz000886 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,835 - ERROR - 处理股票 sh688682 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,841 - ERROR - 处理股票 sz002676 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,846 - ERROR - 处理股票 sh600831 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,850 - ERROR - 处理股票 sh605268 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,851 - ERROR - 处理股票 sh603329 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,852 - ERROR - 处理股票 sz002193 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,857 - ERROR - 处理股票 sz300880 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,857 - ERROR - 处理股票 sz300243 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,858 - ERROR - 处理股票 sz002762 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,863 - ERROR - 处理股票 sh600603 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,873 - ERROR - 处理股票 sh601952 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,882 - ERROR - 处理股票 sh601800 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,883 - ERROR - 处理股票 sh603083 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,889 - ERROR - 处理股票 sz300443 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,912 - ERROR - 处理股票 sz002901 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,922 - ERROR - 处理股票 sz000428 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,928 - ERROR - 处理股票 sh688575 时出错: Expected file path name or file-like object, got <class 'bytes'> type
